Front,Back,Tags
What is the quick stop method for MOB recovery?,"Immediate hard turn toward MOB side, jibe, and approach on close reach - fastest method in good conditions",safety procedures MOB recovery advanced hard
What is the Williamson turn for MOB recovery?,A systematic turn pattern (60° turn one way then reverse) designed to bring the boat back on reciprocal course to MOB,safety procedures williamson turn advanced hard
What is the purpose of a storm jib vs a working jib?,Storm jib is smaller heavier and sets closer to deck for heavy weather while working jib is for normal conditions,sailing storm jib heavy weather advanced hard
What is the proper way to deploy a storm trysail?,Hoist on a separate track or use the main halyard with the main boom removed and secured,sailing storm trysail deployment advanced hard
What is scandalization of a mainsail?,Partially lowering the mainsail and securing it with reef points to reduce sail area quickly,sailing scandalization mainsail advanced hard
What is the difference between apparent wind and true wind when making sail trim decisions?,"True wind determines weather helm and sail balance, apparent wind determines sail trim and angle of attack",sailing wind apparent true trim advanced hard
What is the purpose of a boom brake or preventer in heavy weather?,Prevents dangerous accidental jibes and controls boom movement in following seas,sailing boom brake preventer heavy weather advanced hard
What is weather helm and how do you correct excessive weather helm?,"Tendency to turn to wind - correct by reefing main first, moving crew weight aft, or adjusting sail balance",sailing weather helm correction advanced hard
What is the center of effort and center of lateral resistance?,CE is the center of sail forces CLR is underwater resistance - their relationship determines helm balance,sailing aerodynamics CE CLR advanced hard
What is lee bow effect in tidal sailing?,Positioning the boat so tidal current hits the lee bow helping to push the boat to windward,sailing tidal current lee bow advanced hard
What is the formula for calculating speed made good (SMG) to windward?,SMG = Boat Speed × Cosine (Angle to True Wind) - accounts for tacking angles and actual progress upwind,sailing performance SMG calculation advanced hard
What is polar diagram analysis for sailing performance?,Charts showing optimal sailing angles and speeds for different wind strengths used to maximize boat performance,sailing performance polar diagram advanced hard
